	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
NZ_CP062323	1	20691	28.35532357063457	17abe91e2813c6cf051d3ff6d794bb51	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	CP029083	0.000167546	Staphylococcus aureus	AA411	AI462	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP062337	1	20730	28.369512783405693	46b26514ebce9403fcfc46415d771265	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	CP029083	7.15897e-05	Staphylococcus aureus	AA411	AI462	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP103522	1	90425	50.0182471661598	d3d216c706ead0e247dc01a21750628f	IncI1/B/O	CP012627	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	DQ916413	conjugative	CP041621	0.000956583	Shigella flexneri	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 20956594; 20851899; 30761100
NZ_CP091894	1	43915	35.00398497096664	a074f04d66bc7edc9b646c00ff2fcfe8	rep_cluster_971	002455__NC_002630_00002	MOBC	NC_002630_00014	-	-	-	-	mobilizable	AE002565	0.0330427	Enterococcus faecalis	AE313	AO072	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP076271	1	127140	48.641654868648736	ca30461d1da7e49b5f1c6b5f426ab7e5	IncFIA,IncFIA,IncFIB	CP022610_00144,AF250878,000096__NC_019117_00097	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	CP009167	0.0430292	Escherichia coli 1303	AA304	AI158	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP103624	1	86833	53.10538620109866	d48d89ce5bc2831edeff418a77271817	IncK2/Z	KR905388	MOBP	NC_013728_00087	MPF_I	NC_011754_00087,NC_014843_00047,NC_007365_00035,NC_011754_00109,NC_014843_00041,NC_022371_00084,NC_012487_00131,NC_022992_00098,NC_014843_00033	MOBP	AB290882	conjugative	CP015141	0.0083078	Escherichia coli	AA282	AI113	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
NZ_CP102988	1	188688	50.45524887645213	efbb19c20ddc492bac098b55691ccbbf	IncFIB,IncU	000107__CP014778_00094,000212__CP012556_00176	-	-	-	-	-	-	non-mobilizable	CP043934	0.00402654	Klebsiella pneumoniae	AA402	AI429	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	24096417; 11254626; 18502921; 25389419; 19482926; 30619542; 15781495; 20851899; 16257053
NZ_CP102855	1	149702	51.03605830249429	e538cad0954668f05447848bec99af67	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP019282	0.00892796	Escherichia coli	AA176	AH859	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 28842132; 15781495; 20851899; 16257053
NZ_CP062319	1	24654	28.672831994808146	655dcd51db7e0d8b4b3adb2c327c9e67	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000532603	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP091229	1	25324	33.30832411941242	7de6505ed5e6d782ab13baa92a940e94	rep_cluster_980	002464__NC_004671_00001	-	-	-	-	-	-	non-mobilizable	CP030043	0.0501998	Enterococcus faecalis	AD415	AM971	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP103414	1	11193	34.77173233270794	b06191e55de723a0617ad1ed20bc45cd	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040086	0.000264084	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP103615	1	170849	52.03366715637785	0f215e305cdb180d3a110658d60a4554	IncFIB	000107__CP014778_00094	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_011281_00082,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP021166	0.00296902	Klebsiella pneumoniae	AA276	AI084	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP103572	1	94670	51.84007605366008	8820879a56a90c5b546e489c7497204a	IncK2/Z	KC340959	MOBP	NC_013728_00087	MPF_I	NC_011754_00087,NC_014843_00047,NC_007365_00035,NC_011754_00109,NC_007365_00033,NC_022371_00084,NC_012487_00131,NC_022992_00098,NC_022992_00102	MOBP	AB290882	conjugative	CP027522	0.0102298	Escherichia coli	AA279	AI099	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
NZ_CP098029	1	16397	36.11636274928341	3525de62b2311cb1f7ba6f39cc0878ea	Inc18	AB290882	-	-	-	-	-	-	non-mobilizable	CP024844	0.0424367	Streptococcus iniae	AD058	AM485	order	Lactobacillales	order	Lactobacillales	-	-	-
NZ_CP094513	1	73661	53.86025169356919	dd2e0e3cde21baf05ecdd97c453fde64	IncR	000204__CP008701_00115	-	-	-	-	MOBF	NZ_CP016035	mobilizable	CP043753	0.0186813	Escherichia coli	AB192	AJ845	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	23711894
NZ_CP103740	1	208091	52.342004219307896	bd89ab26ff8c02c1218d704a927c664a	IncFIA,IncFIB,IncFII,IncFII,rep_cluster_2131	000136__AP014877_00014,000095__NZ_CP014273_00094,KF954760,AJ851089,CP030770_00142	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_008460_00097,NC_019094_00068,NC_010719_00097,NC_008460_00107,NC_013437_00116,08-5333_00200	MOBF	NC_007353	conjugative	AP018456	0.00932572	Escherichia coli O25b:H4-ST131	AA171	AH824	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP062347	1	45230	29.35883263320805	1e5d92d36fb0d0b2893f7a2231e1042e	rep_cluster_1017,rep_cluster_155,rep_cluster_1733,rep_cluster_2100,rep_cluster_2176	000261__GQ900456,000915__CP001784_00003,CP000737,AP003139,AP003089	-	-	-	-	MOBQ	AF001314	mobilizable	CP022683	0.00853806	Staphylococcus aureus	AA837	AJ223	class	Bacilli	class	Bacilli	-	-	-
NZ_CP076283	1	77995	49.27879992307199	496f7b88347350b55482a477199f42d2	IncFIA,IncFIA,IncFIB	AF250878,CP022610_00144,000101__NZ_CP012345_00042	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP018958	conjugative	CP009167	0.0401734	Escherichia coli 1303	AA304	AI158	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP062335	1	20691	28.36498960900875	e46952835a322a05eca5f512d44058f7	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	GQ900467	0.000264084	Staphylococcus aureus	AA411	AI462	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP103593	1	138020	52.07940878133604	44ac0fa13b3354a770fa0c2091965d17	IncFIA,IncFIB,IncFII,IncFII,rep_cluster_2131	000136__AP014877_00014,000096__NC_019117_00097,KF954760,AJ851089,CP030770_00142	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010719_00097,NC_008460_00107,08-5333_00200	MOBF	NZ_CM001473	conjugative	CP021871	0.0011856	Escherichia coli	AA171	AH824	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP097037	1	32754	32.951700555657325	3f26f3d38129143d755ca1e7122aaddf	rep_cluster_992	002472__AE016833_00001	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP022484	0.040724	Enterococcus faecalis ARO1/DG	AD582	AN190	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP102436	1	241781	50.25250123045235	fa8a995068720b7a139429166660fc99	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	non-mobilizable	MG053312	0.000434439	Klebsiella pneumoniae	AA406	AI454	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP103759	1	132213	49.94743330837361	00725574f06673b6a38bfe86dddef039	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP024827	0.0113529	Escherichia coli	AA179	AH866	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 28842132; 15781495; 20851899; 16257053
NZ_CP073995	1	98811	51.83127384602929	5ff58b52e5ee5ce6cc3761e9b54d6bae	IncFIA,IncFIA,IncFIB,IncFIC	000136__AP014877_00014,AF250878,000095__NZ_CP014273_00094,AP001918	-	-	-	-	-	-	non-mobilizable	CP029107	0.00547692	Escherichia coli	AA173	AH835	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP053182	1	73942	33.97527792053231	2af69a6501396672ba94d7b1f3295235	rep_cluster_980	002463__CP002494_00007	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	LC499744	0.0224204	Enterococcus faecalis	AD582	AN188	class	Bacilli	class	Bacilli	-	-	-
NZ_CP091887	1	68770	34.00029082448742	af0c17cba59ccbc8cd0506b6fcd8455f	rep_cluster_980	AB374546	MOBP	NC_011642_00047	-	-	MOBP	CP012386	mobilizable	CP040897	0.00216198	Enterococcus faecalis	AB530	AK348	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP062369	1	27268	27.178377585448143	808aaf3286faeba0612a6df064ccb9c4	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	000261__GQ900456,000262__NC_007169_00002,HF937104	-	-	-	-	MOBV,MOBV	JN106164,AJ639924	mobilizable	CP040624	9.55247e-05	Staphylococcus aureus	AA848	AJ244	class	Bacilli	class	Bacilli	-	-	-
NZ_CP084503	1	251955	52.19146276120736	41cfcbf168b90d7da4cd05c2ae186de9	IncFIB,IncFII	000107__CP014778_00094,MK649828_00114	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_014312_00141,NC_019165_00034,NC_021654_00016,NC_011281_00082,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP025457	0.0110007	Klebsiella pneumoniae	AA276	AI081	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP103585	1	35950	49.24061196105702	36dc5e37ce21f7d2a31e9d1c55fd75c2	IncFII	KF954760	-	-	-	-	MOBF	NZ_CP013834	mobilizable	CP031581	0.0357395	Klebsiella pneumoniae	AB181	AJ821	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	20851899
NZ_CP102066	1	80765	34.778678883179595	45c2fd2163c256150957fe3ca8d946d5	rep_cluster_1118,rep_cluster_992	000382__CP017110,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	CP028836	0.00305472	Enterococcus faecalis	AD582	AN186	multi-phylla	Proteobacteria,Firmicutes,Bacteroidetes	multi-phylla	Proteobacteria,Firmicutes,Bacteroidetes	-	-	-
NZ_CP102676	1	188009	51.39434814290805	a6a8018c56b8d49e664e6e5978437137	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP010149	0.00778092	Escherichia coli	AA176	AH859	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 28842132; 15781495; 20851899; 16257053
NZ_CP103636	1	246341	52.46751454284914	da717bc927b01d9255c9445accb426ed	IncFIB,IncFII	000107__CP014778_00094,000124__KP125893_00142	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_011281_00082,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP024500	0.00357808	Klebsiella pneumoniae	AA277	AI089	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP075738	1	222848	46.27414201608271	b86e3cd4338f08a594e92b7bc9972592	IncHI2A,IncN,rep_cluster_1088	BX664015,000155__CP018649,000340__KU353730	MOBH	NC_012555_00231	MPF_F	NC_005211_00005,NC_009838_00006,NC_021845_00017,NC_005211_00030,NC_005211_00207,NC_005211_00200,NC_005211_00012	MOBH	NC_015864	conjugative	CP019260	0.00834599	Escherichia coli	AA738	AJ047	class	Gammaproteobacteria	class	Gammaproteobacteria	order	Enterobacterales	23114770; 20851899; 28842132
NZ_CP093958	1	90089	33.91535037573955	7808d936a4195cfae228cef0569a5222	rep_cluster_153,rep_cluster_185	000892__AB611033_00005,001274__DQ198088_00024	MOBP	NC_016967_00053	MPF_T	NC_007594_00029,KX853854	-	-	conjugative	NC_016967	0.0115313	Enterococcus faecium	AB976	AK970	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP102193	1	221246	50.00994368259765	eb36bf4caab4ccec612e5cec8e90f366	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	non-mobilizable	CP029221	0.00075568	Klebsiella pneumoniae	AA406	AI453	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP068250	1	54259	35.015389152030075	151d83baf29ce2f0625e0576ae0394fe	rep_cluster_183,rep_cluster_185	CP003585,001274__DQ198088_00024	MOBV	NC_022618_00010	-	-	-	-	mobilizable	CP038165	0.0249208	Enterococcus faecium	AB756	AK664	class	Bacilli	class	Bacilli	-	-	-
NZ_CP097043	1	40376	33.4158906280959	6ddd3d927ffc17f093744eafd5d8a8e4	rep_cluster_1118,rep_cluster_992	000382__CP017110,002472__AE016833_00001	MOBV	NC_022618_00010	-	-	-	-	mobilizable	KX579977	0.0212234	Enterococcus faecalis	AD582	AN187	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	-	-	-
NZ_CP103661	1	82128	53.15726670563024	c1407218c56aea735115a5b7e2739047	IncK2/Z	KC340959	MOBP	NC_013728_00087	MPF_I	NC_011754_00087,NC_014843_00047,NC_007365_00035,NC_011754_00109,NC_014843_00041,NC_022371_00084,NC_012487_00131,NC_022992_00098,NC_014843_00033	MOBP	CP018984	conjugative	CP009052	0.0125405	Escherichia coli NCCP15648	AA282	AI115	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
NZ_CP102871	1	134407	44.56910726375858	1e671ca1abfb09c78309aa5b66eb9b84	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	-	-	MPF_F	NC_005211_00005,NC_009838_00006,NC_021845_00017,NC_005211_00030,NC_005211_00012	-	-	non-mobilizable	CP033253	0.0028554	Salmonella enterica subsp. enterica	AA738	AJ051	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
NZ_CP101859	1	101973	49.82201170898179	8d3d0a33131ed168c8ee0038a5c9ea24	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	-	-	MPF_F	NZ_CM001154_00091,NC_022651_00077	MOBF	CP000430	mobilizable	CP041920	0.0164427	Escherichia coli	AA176	AH859	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 28842132; 15781495; 20851899; 16257053
NZ_CP102832	1	22388	34.7820260854029	c31a799ca3804bbebfb05a4cfdb5f4fe	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040086	4.76906e-05	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP103583	1	176613	51.99956968060109	e9905a558bfa59814d99b55ff3cc0ab6	IncFIB	000107__CP014778_00094	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_011281_00082,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP021166	0.00291212	Klebsiella pneumoniae	AA276	AI084	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP103763	1	128773	51.33762512327895	0db8abcb511281c8ed1fac942ff1b950	IncFIA,IncFIB,IncFII,IncFII,IncQ1	000136__AP014877_00014,000095__NZ_CP014273_00094,000121__CP024805,KF954760,000195__NC_013728_00014	MOBF	NC_017627_00068	MPF_F	NC_019000_00022,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116	MOBF	NZ_CM001473	conjugative	CP024863	0.00058191	Escherichia coli	AA172	AH832	phylum	Proteobacteria	phylum	Proteobacteria	phylum	Proteobacteria	10773089; 11254626; 25389419; 2653965; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP091199	1	41202	33.551769331585845	fb88fb9b5767a91080d971aa190ae153	rep_cluster_992	002472__AE016833_00001	-	-	-	-	-	-	non-mobilizable	CP036247	0.0343598	Enterococcus faecalis R712	AB174	AJ812	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP092541	1	24653	28.65371354399059	2388db8b682727309306b809975dc801	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP075608	1	21607	34.956264173647426	80652ac7a9a81a3fc235fd1e078caa1f	rep_cluster_1249,rep_cluster_183	000557__AB158402,AM296544	MOBP	CP003585_00012	-	-	-	-	mobilizable	CP012435	0.0344723	Enterococcus faecium	AA891	AJ330	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP076499	1	119720	33.87905111927832	14a1f5f231aabd9a552acc8b46759dcb	rep_cluster_980,rep_cluster_992	002463__CP002494_00007,002472__AE016833_00001	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP019514	0.0175349	Enterococcus faecalis	AE309	AO064	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP087319	1	36555	39.633429079469295	d5365f440a68636ca3005940b0d84270	rep_cluster_1172	000454__KY202458_00008	MOBP	NZ_AEOY01000096_00007	-	-	-	-	mobilizable	CP024419	0.00238081	Acinetobacter baumannii	AE027	AN728	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP072508	1	91525	34.47254848402076	71eefd366487ef8554dfbfb7003edc0f	rep_cluster_1027	AB563188	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP042217	0.0	Enterococcus faecalis	AE311	AO066	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP085295	1	97455	33.82586834949464	0c9da667703e3f924b5395c1f640a792	Inc18,rep_cluster_2101	AB290882,AJ49170	MOBC,MOBQ	NZ_ASWX01000006_00035,X92945	MPF_T	NC_013514_00028,NC_014475_00046	-	-	conjugative	CP038866	0.0565317	Vagococcus sp. CF-49	AD055	AM476	order	Lactobacillales	order	Lactobacillales	-	-	-
NZ_CP062383	1	43339	28.59779874939431	9256dc1828ff971988bc16ecc92c974b	rep_cluster_1017,rep_cluster_155,rep_cluster_1733,rep_cluster_2100,rep_cluster_2176	000261__GQ900456,000915__CP001784_00003,CP000737,AP003139,AP003089	-	-	-	-	MOBQ	AF001314	mobilizable	CP022683	0.00853806	Staphylococcus aureus	AA837	AJ223	class	Bacilli	class	Bacilli	-	-	-
NZ_CP090183	1	11179	34.78844261561857	b428e62368127c36fb78e3b374f1b04a	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP035933	0.00108342	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP097071	1	76993	34.718740664735755	9558720b961506e8a5b78d0b140ead61	rep_cluster_980	002463__CP002494_00007	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP002494	0.0281347	Enterococcus faecalis 62	AE312	AO071	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP091526	1	36202	29.603336832219213	851739d6e56f0e3f8a85c41936534945	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBP	KM007159	mobilizable	AB304512	0.000143503	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP092562	1	24653	28.65371354399059	2388db8b682727309306b809975dc801	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP076492	1	33659	35.99631599275082	2075be24d7b9a57cd27ba9a791be7ac7	rep_cluster_185,rep_cluster_282	001274__DQ198088_00024,001560__NC_020237_00009	MOBV	NC_020237_00008	-	-	-	-	mobilizable	NC_011140	0.0236777	Enterococcus faecium	AB171	AJ801	multi-phylla	Proteobacteria,Firmicutes	multi-phylla	Proteobacteria,Firmicutes	-	-	-
NZ_CP095092	1	11178	34.92574700304169	b70f05f771619f378a004f77e3a3f035	rep_cluster_1226	000523__LT594096_00001	MOBQ,MOBQ	CP042207_00010,NC_006877_00013	-	-	-	-	mobilizable	CP040086	0.00162709	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP086563	1	52092	33.78061890501421	b1d9fca1d60baaa4aca088082e64acbe	rep_cluster_1027	AB563188	-	-	-	-	-	-	non-mobilizable	CP036248	0.104495	Enterococcus faecalis R712	AE315	AO075	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP103715	1	94783	51.43116381629617	7f43efcc5c5cfb387c8a3df84d5d363c	IncFIA,IncFIB	AF250878,000107__CP014778_00094	-	-	-	-	MOBF	NZ_CP016035	mobilizable	CP025006	0.0336937	Klebsiella pneumoniae	AA274	AI067	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP103711	1	178234	52.6930888607112	feda2840e8a5d5370e26c22fc5b3b278	IncC,IncFII,rep_cluster_2183	000092__CP025470,000129__CP018340,CP033468_00001	MOBH,MOBH	NC_012690_00071,NC_012885_00072	MPF_F	NC_023291_00077,NC_012885_00091,NC_016974_00085,NC_012885_00083,NC_014170_00023,NC_009140_00071,NC_012885_00167,NC_012885_00088	MOBH	JQ319772	conjugative	CP040068	0.006248	Escherichia coli	AA860	AJ277	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	23800906; 20547789; 20138094; 19482926; 24567731; 28842132; 20851899; 22290972; 19949054
NZ_CP103720	1	83426	51.45398317071417	7b95a6975f836e4a5b89d64e3b910cc4	IncFIA,IncFIC	CP027674_00138,AY458016	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_017054_00096,NC_019037_00027,NC_019094_00068,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	CP027455	0.0170111	Escherichia coli	AA307	AI163	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 28842132; 24247128; 20851899; 22511964
NZ_CP086561	1	19446	33.70358942713155	48674285f7dab9af4549f81a79efb98b	rep_cluster_1027	AB563188	-	-	-	-	-	-	non-mobilizable	KP698941	0.132399	Streptococcus agalactiae	AB922	AK903	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP097035	1	92441	35.35552406399758	89193a1b5e96f3f1913544332de6445a	rep_cluster_183	001252__NC_010980_00001	MOBQ	X92945	MPF_T	NC_013514_00028,NC_014475_00046	-	-	conjugative	CP012385	0.0552118	Enterococcus durans	AC726	AM030	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP073985	1	247187	46.008487501365366	b11b14a43a91747e07354bc40e843613	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	MOBH	NC_012555_00231	MPF_F	NC_005211_00005,NC_009838_00006,NC_021845_00017,NC_005211_00030,NC_005211_00200,NC_005211_00207,NC_005211_00012	MOBH	NC_015864	conjugative	CP031547	0.00524853	Escherichia coli	AA738	AJ049	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
NZ_CP058731	1	7730	32.75549805950841	80a66776abd46c006df809da122950f1	rep_cluster_1226	000523__LT594096_00001	-	-	-	-	-	-	non-mobilizable	CP026126	0.0265635	Acinetobacter baumannii	AB338	AK069	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
